"No.","Time","Source","Destination","Protocol","Length","Info","RTT"
"2582","7.997097","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3089989 Ack=21044 Win=125184 Len=0","0.010794000"
"2583","7.997187","10.100.102.10","142.251.37.78","TCP","66","[TCP Dup ACK 2579#1] 49284  >  443 [ACK] Seq=21044 Ack=3089989 Win=1052672 Len=0 SLE=3089950 SRE=3089989","0.000090000"
"2588","8.506868","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3089989 Ack=22444 Win=125184 Len=0","0.010364000"
"2589","8.506868","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3089989 Ack=23325 Win=125184 Len=0","0.010364000"
"2590","8.507377","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3089989 Ack=24725 Win=125184 Len=0","0.010742000"
"2591","8.507377","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3089989 Ack=26036 Win=125184 Len=0","0.010742000"
"2595","8.583633","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=26036 Ack=3091541 Win=1052672 Len=0","0.000123000"
"2597","8.584131","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=26036 Ack=3091580 Win=1052672 Len=0","0.000086000"
"2599","8.592088","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3091580 Ack=26075 Win=125184 Len=0","0.007902000"
"2601","8.780769","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3091580 Ack=26444 Win=125184 Len=0","0.014731000"
"2603","8.784150","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.003381000"
"2604","8.804709","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3091662 Ack=26483 Win=125184 Len=0","0.020559000"
"2606","8.873271","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3091662 Ack=26735 Win=125184 Len=0","0.007755000"
"2608","8.874326","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000460000"
"2609","8.887470","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3091742 Ack=26774 Win=125184 Len=0","0.013144000"
"2614","9.703169","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3091742 Ack=28174 Win=125184 Len=0","0.008029000"
"2615","9.703169","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3091742 Ack=29074 Win=125184 Len=0","0.008029000"
"2616","9.704761","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3091742 Ack=30474 Win=125184 Len=0","0.009529000"
"2617","9.704761","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3091742 Ack=31828 Win=125184 Len=0","0.009529000"
"2636","9.790266","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=31828 Ack=3113868 Win=1052672 Len=0","0.000742000"
"2639","9.790668","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=31828 Ack=3113938 Win=1052672 Len=0","0.000115000"
"2641","9.799268","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3113938 Ack=31867 Win=125184 Len=0","0.007939000"
"2643","13.412519","172.217.22.110","10.100.102.10","TCP","66","443  >  49299 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=256","0.010028000"
"2644","13.412689","10.100.102.10","172.217.22.110","TCP","54","49299  >  443 [ACK] Seq=1 Ack=1 Win=263168 Len=0","0.000170000"
"2646","13.422393","172.217.22.110","10.100.102.10","TCP","60","443  >  49299 [ACK] Seq=1 Ack=660 Win=65024 Len=0","0.008678000"
"2652","13.475172","10.100.102.10","172.217.22.110","TCP","54","49299  >  443 [ACK] Seq=660 Ack=6838 Win=263168 Len=0","0.000196000"
"2656","13.489350","172.217.22.110","10.100.102.10","TCP","60","443  >  49299 [ACK] Seq=6838 Ack=724 Win=65536 Len=0","0.008119000"
"2658","13.490066","172.217.22.110","10.100.102.10","TCP","60","443  >  49299 [ACK] Seq=7452 Ack=1206 Win=65536 Len=0","0.007958000"
"2659","13.490564","10.100.102.10","172.217.22.110","TLSv1.3","85","Application Data","0.001214000"
"2661","13.503720","172.217.22.110","10.100.102.10","TCP","60","443  >  49299 [ACK] Seq=7483 Ack=1237 Win=65536 Len=0","0.013156000"
"2662","13.532419","10.100.102.10","172.217.22.110","TCP","54","49299  >  443 [ACK] Seq=1237 Ack=7483 Win=262400 Len=0","0.041545000"
"2666","13.559173","10.100.102.10","172.217.22.110","TCP","54","49299  >  443 [ACK] Seq=1237 Ack=8420 Win=263168 Len=0","0.000147000"
"2668","13.567804","172.217.22.110","10.100.102.10","TCP","60","443  >  49299 [ACK] Seq=8420 Ack=1276 Win=65536 Len=0","0.008386000"
"2672","13.583338","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3113938 Ack=32336 Win=125184 Len=0","0.010795000"
"2673","13.583338","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3113938 Ack=33736 Win=125184 Len=0","0.010359000"
"2674","13.583338","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3113938 Ack=34997 Win=125184 Len=0","0.010359000"
"2680","13.656948","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=34997 Ack=3119301 Win=1052672 Len=0","0.000133000"
"2683","13.657718","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=34997 Ack=3119371 Win=1052672 Len=0","0.000090000"
"2685","13.666265","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119371 Ack=35036 Win=125184 Len=0","0.008345000"
"2688","14.032551","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119371 Ack=36436 Win=125184 Len=0","0.009832000"
"2689","14.032814","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119371 Ack=36612 Win=125184 Len=0","0.010095000"
"2691","14.033209","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000395000"
"2692","14.046585","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119450 Ack=36651 Win=125184 Len=0","0.013376000"
"2694","14.161844","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119450 Ack=36771 Win=125184 Len=0","0.010166000"
"2696","14.162420","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000576000"
"2697","14.176753","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119529 Ack=36810 Win=125184 Len=0","0.014333000"
"2702","15.575546","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119529 Ack=37508 Win=125184 Len=0","0.007742000"
"2703","15.576146","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119529 Ack=38908 Win=125184 Len=0","0.008195000"
"2704","15.576146","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119529 Ack=40308 Win=125184 Len=0","0.008195000"
"2705","15.578015","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3119529 Ack=40859 Win=125184 Len=0","0.010064000"
"2734","15.813453","10.100.102.10","142.251.37.78","TCP","66","49284  >  443 [ACK] Seq=40859 Ack=3152284 Win=1052672 Len=0 SLE=3152245 SRE=3152284","0.000395000"
"2736","15.824133","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3152284 Ack=40898 Win=125184 Len=0","0.009940000"
"2739","20.067364","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3152284 Ack=42298 Win=125184 Len=0","0.011287000"
"2740","20.067364","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3152284 Ack=43144 Win=125184 Len=0","0.011287000"
"2742","20.124152","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3152284 Ack=43179 Win=125184 Len=0","0.008294000"
"2747","20.177219","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3152284 Ack=44010 Win=125184 Len=0","0.008218000"
"2748","20.177219","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3152284 Ack=45410 Win=125184 Len=0","0.007968000"
"2749","20.178783","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3152284 Ack=46810 Win=125184 Len=0","0.009532000"
"2750","20.178783","142.251.37.78","10.100.102.10","TCP","60","443  >  49284 [ACK] Seq=3152284 Ack=47316 Win=125184 Len=0","0.009532000"
"2763","20.271805","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=47316 Ack=3168046 Win=1052672 Len=0","0.000209000"
"2780","20.273069","10.100.102.10","142.251.37.78","TCP","54","49284  >  443 [ACK] Seq=47316 Ack=3186763 Win=1052672 Len=0","0.000237000"
"2782","20.273439","10.100.102.10","142.251.37.78","TLSv1.3","93","Application Data","0.000211000"
